"Countries by Continent","Capital City","Economic Equality",Lat,Lng
Angola,Luanda,9,08°50'S,13°15'E
"D R Congo",Kinshasa,11,39°09'N,125°30'E
Nigeria,Abuja,11,09°05'N,07°32'E
Zimbabwe,Harare,11,17°43'S,31°02'E
"Equatorial Guinea",Malabo,12,03°45'N,08°50'E
"South Sudan",Juba,12,#N/A,#N/A
Sudan,Khartoum,12,15°31'N,32°35'E
"Papua New Guinea","Port Moresby",12,09°24'S,147°08'E
Bolivia,"La Paz",12,16°20'S,68°10'W
"Central African Republic",Bangui,13,04°23'N,18°35'E
"Burma (Myanmar)",Naypyidaw,13,#N/A,#N/A
Iraq,Baghdad,13,33°20'N,44°30'E
Chad,N'Djamena,14,12°10'N,14°59'E
Haiti,Port-au-Prince,14,18°40'N,72°20'W
Namibia,Windhoek,15,22°35'S,17°04'E
India,"New Delhi",16,28°37'N,77°13'E
Nepal,Kathmandu,16,27°45'N,85°20'E
Yemen,Sanaá,16,15°31'N,41°11'E
Brazil,Brasilia,16,15°47'S,47°55'W
Colombia,Bogotá,16,04°34'N,74°00'W
