"Countries by Continent","Cont:Poverty Alleviation:Economic Equality:Infrastructure Index:Human Rights Index:Government Legitimacy:Literacy Rate"
Algeria,1:45:35:40:22:33:75
Angola,1:52:9:26:29:31:70
Benin,1:24:31:26:55:35:42
Botswana,1:35:23:35:52:58:78
"Burkina Faso",1:23:18:27:39:25:29
Burundi,1:12:21:20:19:18:67
Cameroon,1:35:19:23:23:19:68
"Cape Verde",1:34:34:35:52:35:85
"Central African Republic",1:20:13:17:15:7:55
Chad,1:17:14:10:8:9:34
Comoros,1:21:39:34:42:22:74
"D R Congo",1:12:11:9:5:4:67
Djibouti,1:34:29:32:33:26:70
Egypt,1:29:26:37:11:17:66
"Equatorial Guinea",1:52:12:35:21:22:90
Eritrea,1:14:31:22:24:18:67
Ethiopia,1:26:21:16:16:19:28
Gabon,1:43:24:37:49:35:88
Gambia,1:26:35:30:44:31:47
Ghana,1:40:38:32:51:54:72
Guinea,1:11:19:18:17:11:40
Gunea-Bissau,1:10:22:19:34:8:52
"Ivory Coast",1:26:23:18:13:4:55
Kenya,1:27:18:17:18:16:84
Lesotho,1:14:36:30:48:36:90
Liberia,1:14:23:18:37:21:38
Libya,1:45:30:44:20:15:98
Madagascar,1:21:24:35:44:25:71
Malawi,1:15:23:23:36:27:74
Mali,1:25:36:26:47:40:26
Mauritania,1:24:37:30:26:30:58
Mauritius,1:58:49:68:63:61:87
Morocco,1:44:28:37:34:37:62
Mozambique,1:21:23:27:42:34:55
Namibia,1:36:15:35:46:51:89
Niger,1:14:24:21:22:16:29
Nigeria,1:25:11:21:8:13:67
"Republic of the Congo",1:25:21:23:32:24:81
Rwanda,1:32:26:23:17:30:71
"Sao Tome and Principe",1:26:39:37:53:35:89
Senegal,1:31:31:29:37:38:50
Seychelles,1:51:31:55:48:37:92
"Sierra Leone",1:17:18:17:37:29:41
Somalia,1:3:19:4:2:1:36
"South Africa",1:44:18:39:49:53:88
"South Sudan",1:27:12:14:4:3:27
Sudan,1:29:12:17:6:4:27
Swaziland,1:17:30:32:40:27:87
Tanzania,1:31:41:25:38:36:73
Togo,1:23:24:25:37:25:53
Tunisia,1:45:37:51:30:27:89
Uganda,1:25:19:19:22:17:73
Zambia,1:19:23:22:36:34:71
Zimbabwe,1:11:11:11:12:11:92
"Africa Average",1:27.9245283018868:25.2075471698113:27.7924528301887:31.4150943396226:26.3018867924528:65.7924528301887
Afghanistan,2:23:19:15:10:3:38
Bahrain,2:69:43:68:28:34:91
Bangladesh,2:26:19:24:21:23:56
Bhutan,2:34:22:34:25:33:53
Brunei,2:69:22:61:36:38:93
"Burma (Myanmar)",2:24:13:24:13:19:92
Cambodia,2:31:29:26:25:24:76
China,2:61:17:36:17:39:96
"East Timor",2:20:30:23:34:15:50
India,2:45:16:36:31:38:74
Indonesia,2:40:28:34:30:32:92
Iran,2:36:33:37:12:15:91
Iraq,2:23:13:18:10:8:78
"Israel/West Bank",2:60:22:41:13:26:97
Japan,2:60:80:51:65:72:99
Jordan,2:36:32:43:30:38:91
Kazakhstan,2:35:44:55:32:32:100
Kuwait,2:63:44:62:44:42:95
Kyrgyzstan,2:21:27:40:19:20:99
