"Countries by Continent","Capital City","Poverty Alleviation",Lat,Lng
Somalia,Mogadishu,3,02°02'N,45°25'E
Haiti,Port-au-Prince,5,18°40'N,72°20'W
Guinea-Bissau,Bissau,10,11°45'N,15°45'W
Guinea,Conakry,11,09°29'N,13°49'W
Zimbabwe,Harare,11,17°43'S,31°02'E
Burundi,Bujumbura,12,03°16'S,29°18'E
"D R Congo",Kinshasa,12,39°09'N,125°30'E
Yemen,Sanaá,13,15°31'N,41°11'E
Eritrea,Asmara,14,15°19'N,38°55'E
Lesotho,Maseru,14,29°18'S,27°30'E
Liberia,Monrovia,14,06°18'N,10°47'W
Niger,Niamey,14,13°27'N,02°06'E
Malawi,Lilongwe,15,14°00'S,33°48'E
Chad,N'Djamena,17,12°10'N,14°59'E
"Sierra Leone",Freetown,17,08°30'N,13°17'W
Swaziland,Lobamba,17,26°18'S,31°06'E
Zambia,Lusaka,19,15°28'S,28°16'E
"Central African Republic",Bangui,20,04°23'N,18°35'E
"East Timor",Dili,20,08°29'S,125°34'E
Comoros,Moroni,21,11°40'S,43°16'E
