"Countries by Continent","Capital City","Human Rights Index",Lat,Lng
Somalia,Mogadishu,2,02°02'N,45°25'E
"South Sudan",Juba,4,#N/A,#N/A
"D R Congo",Kinshasa,5,39°09'N,125°30'E
Sudan,Khartoum,6,15°31'N,32°35'E
Syria,Damascus,7,#N/A,#N/A
Chad,N'Djamena,8,12°10'N,14°59'E
Nigeria,Abuja,8,09°05'N,07°32'E
Pakistan,Islamabad,9,33°40'N,73°10'E
Afghanistan,Kabul,10,34°28'N,69°11'E
Iraq,Baghdad,10,33°20'N,44°30'E
Egypt,Cairo,11,30°01'N,31°14'E
"Sri Lanka","Sri Jayawardenapura-Kotte",11,#N/A,#N/A
Zimbabwe,Harare,12,17°43'S,31°02'E
Iran,Tehran,12,#N/A,#N/A
"Ivory Coast",Yamoussoukro,13,#N/A,#N/A
"Burma (Myanmar)",Naypyidaw,13,#N/A,#N/A
"Israel/West Bank",Jerusalem,13,#N/A,#N/A
Yemen,Sanaá,13,15°31'N,41°11'E
Nepal,Kathmandu,14,27°45'N,85°20'E
"Central African Republic",Bangui,15,04°23'N,18°35'E
