"Countries by Continent","Capital City","Government Legitimacy",Lat,Lng
Somalia,Mogadishu,1,02°02'N,45°25'E
"South Sudan",Juba,3,#N/A,#N/A
Afghanistan,Kabul,3,34°28'N,69°11'E
"D R Congo",Kinshasa,4,39°09'N,125°30'E
"Ivory Coast",Yamoussoukro,4,#N/A,#N/A
Sudan,Khartoum,4,15°31'N,32°35'E
"Central African Republic",Bangui,7,04°23'N,18°35'E
Yemen,Sanaá,7,15°31'N,41°11'E
Gunea-Bissau,Bissau,8,#N/A,#N/A
Iraq,Baghdad,8,33°20'N,44°30'E
Chad,N'Djamena,9,12°10'N,14°59'E
Haiti,Port-au-Prince,9,18°40'N,72°20'W
Pakistan,Islamabad,10,33°40'N,73°10'E
Guinea,Conakry,11,09°29'N,13°49'W
Zimbabwe,Harare,11,17°43'S,31°02'E
Nigeria,Abuja,13,09°05'N,07°32'E
Syria,Damascus,13,#N/A,#N/A
Libya,Tripoli,15,#N/A,#N/A
"East Timor",Dili,15,08°29'S,125°34'E
Iran,Tehran,15,#N/A,#N/A
