"Countries by Continent","Capital City","Literacy Rate",Lat,Lng
Mali,Bamako,26,12°34'N,07°55'W
"South Sudan",Juba,27,#N/A,#N/A
Sudan,Khartoum,27,15°31'N,32°35'E
Ethiopia,"Addis Abada",28,09°02'N,38°42'E
"Burkina Faso",Ouagadougou,29,12°15'N,01°30'W
Niger,Niamey,29,13°27'N,02°06'E
Chad,N'Djamena,34,12°10'N,14°59'E
Somalia,Mogadishu,36,02°02'N,45°25'E
Liberia,Monrovia,38,06°18'N,10°47'W
Afghanistan,Kabul,38,34°28'N,69°11'E
Guinea,Conakry,40,09°29'N,13°49'W
"Sierra Leone",Freetown,41,08°30'N,13°17'W
Benin,Porto-Novo,42,06°23'N,02°42'E
Gambia,Banjul,47,13°28'N,16°40'W
Senegal,Dakar,50,14°34'N,17°29'W
"East Timor",Dili,50,08°29'S,125°34'E
Gunea-Bissau,Bissau,52,#N/A,#N/A
Togo,Lomé,53,06°09'N,01°20'E
Bhutan,Thimphu,53,27°31'N,89°45'E
"Central African Republic",Bangui,55,04°23'N,18°35'E
